Gmt time,Open,High,Low,Close,Volume
14.11.2016 00:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 00:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 00:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 00:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 01:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 01:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 01:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 01:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 02:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 02:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 02:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 02:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 03:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 03:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 03:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 03:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 04:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 04:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 04:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 04:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 05:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 05:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 05:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 05:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 06:00:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 06:15:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 06:30:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 06:45:00.000,2163.839,2163.839,2163.839,2163.839,0
14.11.2016 07:00:00.000,2176.049,2176.050,2174.763,2175.470,181660.0003
14.11.2016 07:15:00.000,2175.470,2176.050,2175.049,2175.799,138580.0008
14.11.2016 07:30:00.000,2175.670,2176.300,2174.969,2175.969,181219.9999
14.11.2016 07:45:00.000,2175.969,2176.550,2174.299,2174.419,191979.9988
14.11.2016 08:00:00.000,2174.300,2176.370,2173.420,2175.799,386040.0001999999
14.11.2016 08:15:00.000,2176.050,2177.420,2175.669,2177.300,333789.9987
14.11.2016 08:30:00.000,2177.169,2177.839,2173.799,2174.050,303460.00190000003
14.11.2016 08:45:00.000,2174.050,2174.800,2172.300,2172.799,281679.9999
14.11.2016 09:00:00.000,2172.799,2175.300,2172.549,2175.049,275600.0001999999
14.11.2016 09:15:00.000,2175.049,2175.850,2174.549,2175.289,238420.00209999998
14.11.2016 09:30:00.000,2175.469,2175.599,2173.039,2173.539,303340.002
14.11.2016 09:45:00.000,2173.539,2174.119,2172.598,2173.419,273800.0006
14.11.2016 10:00:00.000,2173.419,2174.049,2171.699,2173.299,279199.9996
14.11.2016 10:15:00.000,2173.299,2173.369,2172.299,2172.470,287819.9974
14.11.2016 10:30:00.000,2172.549,2173.050,2171.799,2172.970,301278.0007
14.11.2016 10:45:00.000,2172.920,2172.920,2170.299,2170.300,367879.99890000006
14.11.2016 11:00:00.000,2170.300,2171.050,2165.799,2165.799,439339.99919999996
14.11.2016 11:15:00.000,2165.799,2165.800,2162.800,2163.299,458700.0032
